miRNA	Tumor_1	Tumor_2	Tumor_3	Tumor_4	Tumor_5	Tumor_6	Tumor_7	Tumor_8	Tumor_9	Tumor_10	Tumor_11	Tumor_12	Tumor_13	Tumor_14	Tumor_15	Tumor_16	Tumor_17	Tumor_18	Tumor_19	Tumor_20	Tumor_21	Tumor_22	Tumor_23	Tumor_24	Tumor_25	Tumor_26	Tumor_27	Tumor_28	Tumor_29	Tumor_30	Tumor_31	Tumor_32	Tumor_33	Tumor_34	Tumor_35	Tumor_36	Tumor_37	Tumor_38	Tumor_39	Tumor_40	Tumor_41	Tumor_42	Tumor_43	Tumor_44	Tumor_45	Tumor_46	Tumor_47	Tumor_48	Tumor_49	Tumor_50	Tumor_51	Tumor_52	Tumor_53	Tumor_54	Tumor_55	Tumor_56	Tumor_57	Tumor_58	Tumor_59	Tumor_60	Tumor_61	Tumor_62	Tumor_63	Tumor_64	Tumor_65	Tumor_66	Tumor_67	Tumor_68	Tumor_69	Tumor_70	Tumor_71	Tumor_72	Tumor_73	Tumor_74	Tumor_75	Tumor_76	Tumor_77	Tumor_78	Tumor_79	Tumor_80	Tumor_81	Tumor_82	Tumor_83	Tumor_84	Tumor_85	Tumor_86	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Control_7	Control_8	Control_9	Control_10	Control_11	Control_12	Control_13	Control_14	Control_15	Control_16	Control_17	Control_18	Control_19	Control_20	Control_21	Control_22	Control_23	Control_24	Control_25	Control_26	Control_27	Control_28	Control_29	Control_30	Control_31	Control_32	Control_33	Control_34	Control_35	Control_36	Control_37	Control_38	Control_39	Control_40	Control_41	Control_42	Control_43	Control_44	Control_45	Control_46	Control_47	Control_48	Control_49	Control_50	Control_51	Control_52	Control_53	Control_54	Control_55	Control_56	Control_57	Control_58	Control_59	Control_60	Control_61	Control_62	Control_63	Control_64	Control_65	Control_66	Control_67	Control_68	Control_69	Control_70	Control_71	Control_72	Control_73	Control_74	Control_75	Control_76	Control_77	Control_78	Control_79	Control_80	Control_81	Control_82	Control_83	Control_84	Control_85	Control_86
hsa-miR-140-5p	44.875411	36.370438	28.653987	39.492628	39.890341	17.440862	32.404237	41.48307	15.651077	69.95153	32.882952	62.367125	25.724943	194.594016	46.642509	67.319725	27.407059	21.644778	34.806588	30.559923	46.416851	58.600153	52.392973	49.042211	46.192105	36.995929	47.733074	43.238054	25.997329	25.387933	66.553185	36.354296	32.683406	31.828685	36.313755	24.378827	37.82359	56.692957	50.724908	41.555523	103.530815	66.564243	43.362092	33.895942	26.26838	62.391803	43.749096	26.055302	18.260407	33.624796	26.555992	17.043077	73.682869	52.861985	8.698289	55.563749	43.737189	83.223294	45.268975	83.881593	33.525895	40.073587	67.16224	49.823905	39.960275	52.61704	37.095716	75.867257	80.818191	7.289837	20.038866	24.885056	66.306185	25.217032	37.891874	34.415624	56.793411	49.016823	4.223014	25.525286	5.409635	53.453595	24.415063	50.09663	26.410172	104.696318	123.367637	51.223979	43.866008	46.992121	12.298839	41.663171	79.821153	91.505439	54.740305	70.535145	63.778329	44.054657	63.561617	60.264983	77.551556	85.007145	63.778024	59.239782	55.752656	71.233426	59.776155	53.765502	61.340873	25.172459	50.155851	51.96445	53.93551	36.477453	42.550851	48.366013	32.900947	41.281955	36.888191	69.935722	112.324205	66.114616	102.00744	33.008919	33.34498	91.189532	31.364017	43.900907	93.340879	43.031069	58.316781	24.068717	41.465626	73.137473	33.099465	25.855541	39.955189	24.761599	69.989373	29.407826	67.533972	90.225532	69.795701	153.480286	43.444728	72.309207	63.200572	88.471312	66.211978	187.57976	48.139954	63.143162	73.703692	46.897851	21.067528	66.417684	97.67206	55.715326	37.021421	53.157418	46.433551	101.426213	77.535406	70.67096	62.720812	98.248823	21.770225	107.180092	107.079015	125.065101	27.011076	58.500205
hsa-miR-141-3p	1200.690864	2069.726422	2118.671459	564.084136	482.410113	1060.814748	795.704074	290.113863	687.202647	572.519956	472.825021	1435.195294	1051.864346	1059.197367	200.514703	738.254122	848.313685	759.876004	2646.423456	960.9078	821.288161	225.307489	636.330931	1949.138211	779.894617	1773.628429	2490.977469	562.547467	1150.499954	1346.74131	2203.081073	1407.543518	1781.862312	850.280592	2757.799529	369.51555	971.966748	840.945543	3038.60532	594.315635	479.692774	708.39505	694.64929	1206.498983	390.331752	3507.122334	791.527819	524.283542	241.831321	636.503171	1056.549091	1191.927528	1294.944122	443.145441	498.039159	1454.36209	764.194621	1116.019216	563.884415	3102.220905	1382.272648	1684.145253	512.174274	1110.87823	654.241382	1367.385327	1745.29363	891.028933	3086.057604	434.150296	504.456691	1346.809472	2602.284297	920.659599	2143.105307	871.862477	535.929631	1257.487666	612.759327	1365.105574	301.185133	1147.527983	633.815057	915.994469	390.018591	4338.998812	259.512636	2.286785	144.675062	134.755411	114.260187	170.647781	651.328743	2.271411	383.926904	286.949795	272.054432	244.531229	197.936848	120.908992	963.48577	10.158087	226.593468	133.881908	330.976086	295.409213	278.059867	325.564981	629.018765	154.318117	256.797958	207.857797	141.730534	106.392572	111.875273	170.028976	130.525068	192.346689	1311.506944	91.663324	9.991102	95.270753	362.905827	105.438562	167.55164	143.871567	74.202675	77.094275	195.820026	396.081434	84.272807	58.530749	335.10996	135.626581	47.866919	49.86426	64.542996	42.448454	191.065881	107.620131	179.033013	33.964807	742.504039	175.775733	218.46492	35.971078	98.349553	135.746057	144.351849	10.016395	112.667978	226.205175	573.57526	263.126001	6.152463	421.701598	1234.702243	257.334599	174.823377	160.991038	80.980111	3.713546	67.445182	53.596096	109.902682	4.888	59.461958	5.711793	67.948157	44.330587	3.28172	285.802534
hsa-miR-141-5p	651.240714	751.128611	614.660329	1049.856949	1215.559515	1773.709954	955.324956	220.261724	898.853355	436.364302	633.792379	579.588466	372.058902	670.591951	201.476405	704.877117	772.618	686.28376	4289.631232	776.106752	511.165572	223.791966	408.177813	808.617221	454.40141	482.035211	1393.608888	598.315073	802.135751	866.732243	870.310881	602.216823	530.642851	493.799317	706.839566	283.806342	857.998296	752.599017	808.542806	838.633453	594.957082	544.960899	567.130508	751.114393	344.362084	1236.412209	685.647646	656.466544	250.24699	756.321108	904.800566	557.888804	456.63989	376.854806	1474.235671	919.84644	492.279364	490.293757	305.016199	1201.603816	1034.944377	729.761124	398.247214	764.616011	489.556614	1174.017705	1244.501457	871.193759	1424.79478	1055.406407	718.785435	1083.254088	735.438321	1509.691428	755.869056	735.407546	244.514259	796.637907	1855.592346	1178.804136	534.969129	757.710867	497.0907	490.376765	954.34431	2032.730624	182.407863	2.744142	230.75176	255.154777	105.531979	256.827766	511.567539	2.271412	485.959856	306.186654	251.459345	438.594779	341.27043	114.465567	527.71988	14.969812	332.371652	214.684973	358.409933	308.87772	382.164407	425.260816	476.436092	198.096306	259.472936	154.488903	221.135589	145.57206	107.094277	196.206458	252.420378	221.833799	1046.702426	88.268386	3.633128	171.240963	447.137172	241.748777	451.672924	232.226192	118.571285	100.115481	161.225155	356.717787	91.688814	98.462938	316.210661	184.665118	107.445954	104.037774	106.803293	106.828612	174.207127	236.826858	244.753994	34.17318	548.394797	128.099303	244.117996	30.098249	50.695646	183.020803	92.745455	5.463488	151.248224	263.327805	556.791248	346.546076	8.576162	537.42554	540.381291	343.562843	328.56511	207.31393	79.494239	1.624677	74.34902	50.038834	111.409489	3.095734	93.579474	2.855896	57.027918	26.422205	6.058559	153.916573
hsa-miR-142-3p	2712.955713	1260.314745	847.554762	863.985498	2982.570115	222.242742	4899.440844	2784.18312	2445.420486	14949.22476	3500.443256	1249.095801	2775.435539	8578.449939	379.391129	3262.460938	2879.046132	2882.507237	9826.124254	1242.866346	4240.759563	1361.948393	26999.74382	2925.155412	989.370444	1681.501307	2764.581473	1700.093156	1444.506104	2910.756099	4763.672201	4122.261081	1442.386555	3484.786342	1371.739306	723.085202	1506.971485	3800.790395	5640.243061	2513.034461	10153.61212	1666.270711	6723.121067	4166.253205	4101.151333	13830.76883	7000.59116	840.124657	510.179938	737.377561	1267.100165	1258.286743	5061.819279	6042.892386	1365.382801	1548.363773	987.862615	21016.98349	1508.379816	1592.352236	3419.306021	9911.358278	9775.588563	1223.051603	1948.366134	9852.540745	2051.33329	6259.779906	1097.730545	967.928365	1783.894765	3213.188779	6061.879549	2183.890218	8154.134299	1854.519118	2328.529868	3580.060508	730.159117	689.016983	273.113509	5756.484143	1306.205917	2127.681239	402.45693	1192.948186	853.439688	577.64183	256.574769	158.682154	103.945032	203.1793	1021.354682	1014.67202	1328.662656	1046.004145	1011.152238	273.250405	6720.467948	562.852208	1242.671377	804.627382	562.076243	931.249388	776.554855	388.790851	312.985262	903.476601	863.169405	442.159708	366.472086	350.760031	540.853303	170.903625	277.775783	414.102831	314.986112	971.260049	8117.378224	571.028552	1404.203954	197.52255	422.250637	302.779658	324.631303	738.493464	286.866011	194.341817	480.411796	1002.672815	562.268165	179.421356	1131.701317	176.818951	209.799684	205.613115	338.082365	304.213929	1432.483241	217.430205	279.200851	345.274151	996.518578	976.719869	586.296953	870.279853	364.332707	597.687862	621.467579	1343.107516	363.951709	967.269984	1499.6147	618.38761	159.218301	541.861837	2477.366888	1069.572244	258.635759	803.056705	759.652884	1098.048974	550.182754	587.422705	4920.94682	1564.812126	171.562369	994.019753	422.5526	923.309257	279.451035	197.233519
hsa-miR-142-5p	32.470825	21.460817	48.90568	16.713604	237.259859	20.775145	74.809785	36.130416	37.803369	273.560446	89.367375	27.802213	85.273425	210.324671	11.540415	63.925453	56.119214	49.638689	230.172598	27.100309	67.304432	47.486331	598.254645	112.179229	21.4847	27.202889	38.875391	34.182965	24.106614	46.05253	76.792137	69.547352	19.733376	60.929197	29.153297	27.138694	38.818948	123.307183	130.7847	90.275793	406.530999	22.729254	105.552459	58.949465	76.342486	367.320756	219.480774	23.513321	9.209597	6.630243	13.277998	33.904843	72.390184	83.556043	38.769518	23.595563	17.882952	440.411473	20.217213	28.659543	138.126688	171.367314	166.164358	30.896389	36.154533	205.206456	21.539448	162.154836	21.551517	18.629585	33.107693	41.852142	130.277646	32.829721	124.993971	25.358879	27.931187	42.603407	13.513644	11.270906	7.602732	166.888529	17.090544	32.583173	18.657506	32.932644	48.465857	8.232426	13.077036	26.415124	1.586948	24.541318	35.904682	44.454768	26.439194	52.099823	38.200562	19.239059	142.906992	42.07178	63.149125	46.513343	30.074191	37.202581	25.221438	14.067104	16.791055	24.856413	39.354897	13.133457	5.349958	12.288891	10.187819	5.404066	4.302894	14.709251	4.854239	24.496984	127.791236	24.443554	66.001827	11.087545	22.972185	17.335621	12.676603	46.539734	7.64976	8.030654	11.096468	19.804072	23.259295	4.376131	16.924746	9.247266	10.184452	9.84973	5.378583	12.027063	39.337092	5.631286	12.690948	18.545201	15.84073	56.435357	19.446688	23.858369	23.657969	56.729696	30.184873	80.586451	13.315305	51.347186	30.649061	24.901515	17.152322	25.984016	28.664625	28.172694	7.712795	22.781752	30.831876	15.782569	20.53449	25.612294	162.73508	60.93708	11.697435	39.982541	13.34696	44.037007	29.535476	23.221452
hsa-miR-143-3p	52825.65502	31964.19342	31688.07745	25425.9745	59837.81289	173287.7819	20727.91121	27785.89597	23225.71573	26065.27227	51055.55601	36270.61622	30933.7678	16912.20081	87068.09998	41582.09273	17141.59182	38951.94253	40407.07989	29960.25768	31716.92451	68493.47593	32260.97306	48611.44901	28503.75176	24556.9556	31281.40172	52917.71979	36281.39887	23452.54641	31581.19275	20447.71107	10687.7822	39958.6409	30169.05843	73927.02881	50594.52713	71097.22134	49903.531	74409.46377	82930.94356	52196.10583	18488.79689	25030.92391	37129.12839	31953.39069	72297.77622	21571.88467	34383.71438	21852.32842	29250.79226	57105.18624	31871.39624	56247.71127	64081.28675	25734.95902	34840.39414	18971.29287	24467.22153	21539.39499	41520.47979	50764.27186	37927.26379	48345.88813	46830.15551	25995.44863	21741.97895	41992.70925	13633.92911	25656.17646	20288.9169	50803.22179	23678.77922	20792.15741	19136.38023	22860.72933	29382.79295	26798.00121	59814.34786	20267.40887	30503.47481	37815.70876	21838.78636	35557.61011	44202.19218	53067.76186	137365.4577	68872.46876	70849.56375	161114.8331	30276.17243	97491.2493	113915.7646	212430.8517	80688.70007	58343.78669	92534.71352	132236.7442	54438.60587	146893.0558	164887.1662	91003.6243	108798.5672	101529.6423	88722.38805	67250.6411	157282.482	88426.96186	162208.7903	54626.42429	79696.30967	86398.6214	79113.80362	86344.49645	74047.08801	66183.40542	98952.02395	73567.61826	28508.64336	75950.19219	182637.0393	171023.7294	152785.268	118854.9087	105751.2652	224519.2587	81927.02052	113143.3424	60629.79636	72837.90881	110675.1398	79932.21374	75447.69478	110132.9869	68130.91908	49909.81341	54968.35088	42033.16781	60783.98316	65389.86644	111944.5841	75233.09131	67063.53725	77192.62064	66329.75625	283242.8734	152998.7826	134953.1913	100673.1227	209484.2513	70081.87206	44326.5001	59774.42293	72582.93449	115780.2303	64538.34322	38521.01144	91616.06758	84776.48317	81330.08972	93460.8931	100707.6393	92879.80666	83548.01416	27654.69839	90888.14656	72677.4582	80634.53974	101674.7097	84895.71743	61472.66404	162933.1974
hsa-miR-143-5p	98.87184	82.228816	66.141159	127.104263	16.328739	11.541748	78.810308	112.941005	45.026943	155.725427	76.903677	105.698502	55.737377	82.14897	89.919065	127.850906	50.898821	84.847529	76.349935	41.227068	77.748226	126.798608	65.795825	61.013142	108.497736	95.754173	78.242872	64.743895	109.18878	75.573383	116.894697	48.999271	35.458412	57.291633	83.368196	24.072175	51.26092	52.440986	108.783537	36.540203	128.378208	337.150585	51.635122	171.935931	37.760799	70.300624	47.425493	22.877827	46.841917	113.187694	190.950226	59.288149	172.896205	137.057488	16.153965	130.727039	131.945763	60.995955	105.041602	53.125009	34.866931	92.274707	80.097191	97.421044	243.394401	190.079057	128.040054	63.893027	89.997542	9.314792	36.157086	263.932427	122.806527	84.691166	72.33903	102.643091	127.785177	123.458262	26.604988	146.024529	5.263429	202.606368	41.017307	115.670267	7.156304	37.847965	143.635178	252.918394	58.267301	19.524222	24.200943	30.248603	174.478952	295.607998	188.798196	164.314826	122.906154	32.343926	95.129131	101.199689	116.696628	536.240043	38.370518	79.855227	59.734988	28.43351	57.761228	186.152923	83.546709	44.872645	197.948426	126.400012	65.621537	23.305038	118.090565	52.853581	28.586071	115.226556	59.943311	251.904395	128.976045	34.905233	109.117879	28.734382	23.699738	76.306266	57.373202	39.617891	251.302365	134.227599	55.28296	111.044314	102.394709	58.285801	17.82279	37.552095	122.939042	15.564432	112.391695	18.770952	62.548242	160.447252	165.724586	140.540963	34.755783	361.546038	224.750695	67.535354	137.535911	175.742202	102.766851	62.79622	405.005435	50.218053	30.948756	46.264227	341.321384	142.303603	51.41864	271.102832	211.179787	426.129344	202.158528	237.388021	73.739332	462.567847	32.817801	383.194027	207.787892	300.332391	10.097599	34.385616
hsa-miR-144-3p	1.824204	1.581323	9.910403	0.404361	1.315067	12.311197	0	2.943961	0.722358	4.580159	1.856295	1.001881	0.476388	0.582617	1.442552	3.959984	0	1.442985	1.122794	0.576602	1.450526	4.04139	1.21844	1.737717	1.074235	2.17623	4.428844	2.49015	1.890714	0.590417	1.706492	0.790311	1.54167	0	0	0.76663	0	11.338593	1.222286	1.074712	11.733493	8.658764	0.855831	0	1.641773	6.151305	2.573475	0.635495	0.79393	2.367945	1.896857	7.252371	2.262192	0.639459	0.497046	3.425164	7.079761	2.84303	0.439505	0	1.005777	1.054568	1.243745	6.123611	1.556893	3.946278	2.094113	1.462502	3.392367	2.024955	1.742511	3.393416	4.66945	0.475793	0	0.301891	0.81466	2.290506	0.422301	1.988984	0	1.847475	0.976602	5.702056	0.937135	0.491532	29.079513	13.263353	11.256183	10.623473	4.760842	0	10.682386	61.003625	7.820043	4.809214	1.993073	11.153078	1.279764	19.330277	44.315175	4.277089	2.074083	4.028305	5.309775	0.8979	5.373136	7.564993	1.0993	1.094455	2.006235	1.755555	2.996417	3.039788	0.478099	1.246546	2.15744	6.351072	1.317436	0	71.148756	0	1.367391	2.374741	0.551157	33.073924	4.207368	3.747639	1.9582	1.711463	2.359638	2.735082	1.692474	1.681321	5.092227	0.615608	1.536738	0	2.043485	1.251396	0.906496	7.501429	4.904999	5.971998	1.241277	28.997095	4.055652	29.715557	17.283274	74.667672	1.365672	1.734702	2.18922	6.640403	27.219992	1.90127	9.554876	5.490525	1.542558	14.808139	2.600278	12.069025	20.357469	19.683523	274.144566	103.788559	9.098003	55.94196	10.01022	43.449847	96.684506	9.377895
hsa-miR-144-5p	27.727895	7.906617	61.185957	7.682866	23.232835	237.375256	4.000523	27.298537	52.250517	47.467108	27.844434	14.276811	10.95692	7.574019	100.016927	151.610809	5.655425	21.356181	8.420949	26.812009	34.812639	150.036599	18.885838	21.431833	2.14847	32.643469	120.562917	38.936888	23.633934	13.579592	7.679214	30.031811	14.491699	15.459647	6.648997	14.719292	17.418759	298.11047	4.889148	33.674303	144.94314	87.128804	32.521568	11.298647	43.096565	59.755531	22.793648	27.326293	8.733238	29.362498	20.233138	77.419083	49.121913	17.052254	17.148056	50.045432	65.867996	39.027073	12.306129	4.893093	11.734063	18.982226	30.098633	138.059535	43.939004	42.751345	25.129356	22.668769	23.347477	143.366795	101.06559	34.311215	23.814193	31.878136	9.349943	11.169982	12.685415	68.028021	15.625152	11.270905	4.678603	18.35158	45.900319	74.53401	27.176917	5.652618	886.043993	553.401914	371.122989	211.990935	115.847137	13.69748	329.966998	1647.097911	92.723374	70.535145	56.802574	330.688754	69.53385	843.33075	864.884507	373.710658	148.81539	117.29477	174.337671	62.853023	337.836023	104.829222	47.709568	80.989651	64.199489	275.271136	102.477468	307.694074	179.765394	34.903309	266.443732	260.847515	20.42025	49.566094	1638.843466	58.312271	67.002206	145.809184	52.911043	603.5991	241.349937	240.919608	50.260473	54.033331	122.701204	90.257693	77.289671	84.626502	621.760708	142.205477	69.92158	77.822168	55.684976	45.050287	73.879445	156.904909	54.437431	103.215989	66.61525	2003.368801	237.931564	681.431697	471.760345	1226.097807	77.160492	97.490268	61.298121	157.294566	2268.954017	22.815236	223.477922	202.339342	247.323659	527.017827	95.467378	875.468341	360.061685	726.867415	10953.35163	2030.312775	618.014439	1120.351149	452.886599	1279.715437	2010.68427	545.257648
hsa-miR-145-3p	35.389551	34.111404	30.162095	43.266668	33.205422	38.344249	18.802458	34.52462	22.874649	60.791208	33.148137	49.092194	11.433309	11.069719	79.34035	49.216942	9.135687	30.302689	28.069829	41.227066	38.293901	61.126021	27.110317	26.258822	47.26634	43.161918	38.383297	47.991979	50.576622	37.196274	34.983085	37.934919	17.266705	21.825384	21.992838	20.085701	20.404833	23.622066	35.446319	33.674305	71.091157	94.164049	9.128862	36.35217	32.425035	13.181368	29.778794	13.980893	46.841916	25.573787	45.52456	13.23558	48.798743	57.125047	28.580093	39.199084	43.265205	16.024359	31.644332	16.077307	24.473905	31.637042	36.566109	40.360148	41.171193	46.03991	22.736084	21.937521	36.717401	10.529765	28.315792	44.114419	43.892828	18.555929	9.349944	26.566444	52.021833	55.888342	21.959672	30.497745	15.497874	63.060462	14.160737	36.248782	16.698042	11.796768	108.387283	107.478886	84.090311	145.378885	29.358521	66.204487	100.889192	135.960209	118.045421	105.001184	113.937327	81.975123	67.827497	68.22451	73.858625	98.373047	60.148381	69.429025	89.381243	70.335527	97.388116	108.881897	113.667495	84.273013	113.01785	90.937786	77.607205	80.723252	99.922787	93.740315	72.274212	91.636867	25.689991	115.42789	87.195069	82.951259	52.234371	52.006859	45.470428	106.781523	100.594348	103.327743	108.353745	102.68778	82.92444	71.659137	122.422325	102.840816	69.254267	75.719801	122.170672	48.815724	94.511196	48.17878	69.800211	123.981966	150.446725	100.329527	62.063896	186.829375	114.910132	72.938181	113.680125	71.935929	92.524306	80.143243	116.758325	92.135601	62.27039	85.557131	94.487101	95.229105	86.383313	130.235676	120.170027	145.756662	148.521017	126.638564	53.868324	153.809104	42.240734	118.435682	90.698657	71.633531	26.758637	93.778956
hsa-miR-145-5p	1248.84984	2070.630036	2185.889835	1807.225831	1222.792378	810.48709	621.281263	1105.055476	906.317715	2576.964374	1326.455845	3867.012246	946.106247	355.978872	9589.603628	3085.958803	455.914228	1136.206547	1259.212518	1587.386249	2107.905255	4052.503717	1022.576803	1417.976327	2847.797012	2122.188127	1383.274922	2267.394545	2038.190547	834.259303	2137.381132	1877.778438	802.593458	936.672737	1921.048782	997.691985	1732.917673	2564.411467	3763.421474	1984.634485	4676.141804	2602.49946	472.703849	906.839222	1013.384971	1239.927239	1890.402252	617.065843	1253.140392	567.832815	1491.561521	544.109297	1748.02914	2486.005427	491.826097	2452.79698	2159.012369	932.514436	2063.034631	880.756722	1334.330619	1182.698122	1264.142625	2073.119784	1585.263892	1955.380749	1133.513467	950.168832	1828.087534	280.253735	982.340097	1640.528559	2036.346997	690.851545	535.899352	1038.808444	3146.913614	2308.82981	608.536314	1526.710474	272.674889	3581.760354	999.064414	1818.955669	648.497489	407.971568	15704.70017	7444.399118	7904.820358	5308.291286	8279.896202	11925.94	9774.975565	13395.16332	5403.650172	1916.471962	11432.59744	4331.297713	3294.966006	9356.991573	8896.271468	21416.98892	5946.393278	5027.087981	5805.798454	4084.249388	8783.064945	5449.228339	9678.886036	7672.127631	8409.464343	9332.885314	5863.389143	4568.125528	7993.344854	7517.424853	3530.64912	6929.924566	1131.018293	9972.969506	8472.757142	8268.433559	5158.349457	3194.978461	2877.038036	7192.160912	4026.45134	5126.233844	11843.19515	4624.372994	4531.180263	5204.313331	5251.184376	7712.78101	3185.696144	9043.899016	8803.203791	3504.827451	5992.520839	2936.715607	5312.068138	14509.6409	8035.511537	11877.70189	3687.8368	14962.8672	19606.034	6335.491317	8849.279626	10117.46955	8002.49918	6397.581961	7744.725445	4781.50581	4191.505684	4035.508112	4415.414135	4250.29629	4097.037254	6172.715287	12053.59249	11423.33003	12450.45168	14465.01728	5506.341063	18641.37028	1953.146578	13603.47196	8831.743681	9765.64679	693.957447	4924.28837
hsa-miR-1468-5p	4.013248	3.162646	7.971411	2.156594	7.342453	6.412083	6.800889	5.352653	0.722357	7.494806	2.651851	3.005645	0.476388	7.574019	13.463818	7.354256	3.915295	6.349135	0	5.189421	3.771369	4.04139	7.615257	2.703115	1.074235	9.430335	0.984188	5.206677	6.144824	3.542502	6.825968	4.741865	2.466672	2.728173	2.557306	3.833149	3.483752	3.77953	3.66686	4.298847	17.945341	0	59.052323	3.438719	7.387983	5.272547	13.9703	5.083962	5.239943	0.473589	2.529142	5.620589	2.908533	7.673514	83.006528	38.057362	3.146561	1.03383	1.758019	44.037836	3.687848	2.63642	2.48749	4.175188	7.092516	8.550269	3.290749	44.149259	46.894506	6.074864	1.306883	6.409787	6.53723	3.806344	24.605113	9.962417	3.375018	8.474871	10.557535	1.823235	9.503413	15.149291	8.301121	1.629159	3.74854	9.584874	7.930777	10.061853	18.87066	14.260339	37.293255	13.69748	13.056248	8.436671	14.522938	28.855287	22.588158	16.171963	17.490109	7.959526	15.141018	12.296631	12.444493	7.582692	21.239107	16.461506	12.761201	15.12999	14.950464	10.944548	16.049873	14.044445	11.086744	13.847922	19.602077	19.196819	23.731831	15.877675	1.317435	12.221777	3.330367	11.087545	14.494354	11.873711	9.369663	4.252361	17.976937	14.455176	16.971068	19.559577	9.101463	11.487343	18.053061	8.126385	20.878124	27.086758	19.209225	22.639176	9.195683	12.201119	14.050692	5.417699	13.750074	11.844458	10.343982	9.543348	15.546665	6.078182	7.059364	10.926977	14.680979	7.28575	18.243488	14.940908	23.491224	9.252844	9.024049	15.751505	24.16676	21.262968	14.487268	8.587574	7.788944	10.671789	8.193258	12.871736	12.022363	10.751608	10.01022	10.568882	5.553679	12.950427
hsa-miR-1469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-146a-3p	0.364841	0	0	0	2.410956	0.512966	0	0	0	15.822368	0	0	0	23.887289	0	3.394272	0.435033	0	0	2.883011	0	0	21.931941	0	4.29694	0	0	0.679132	0	0	0	3.161244	2.158338	0	1.534384	0	0.995358	0.944882	0	0	0	0	0	0	0	55.361742	0.367639	0	0	0	0	0	4.201214	3.41045	0	0	0.891525	4.393775	0.439505	0.699013	2.346813	0	0	0.278346	3.80574	5.919417	7.179816	19.926581	0	0	0	0	5.60334	4.282137	0	0	0	0	0	0.994493	0.292413	0	0	0	0	11.551002	0	0	0	0.287121	0.396737	0	0	0	0.372383	0	0	0	6.39882	0	1.846465	0	0	0	0	0	0	1.891248	0	1.094455	0	0	0.599284	0	0	0	0	1.360944	2.634871	0.678988	0	1.23195	0.273478	0	0	0	0	0	0	0	0.337091	0.547016	1.410395	0	0	0	0	0	2.043485	0	0	0	1.286558	1.493	0.413759	0.367052	0.337971	0	0	0	0	0.34694	5.108178	0.83005	0	0	0	0.090009	0	2.278176	0	0	0	0	0	1.792268	0	0	0	0	0	0.29771
hsa-miR-146a-5p	54.726111	68.222807	84.669299	26.822637	362.081559	36.164141	114.815018	57.808665	84.034242	375.156712	130.471065	72.385941	134.341371	341.413453	65.395682	117.66809	93.09699	93.794038	633.816736	309.635458	115.171811	123.262392	521.492846	195.589602	80.567626	47.877085	94.974053	51.161259	74.210556	68.488379	218.430967	150.159051	55.500124	171.8749	57.283669	71.29657	54.744671	185.196997	109.394677	184.133957	801.328504	32.470361	224.512932	59.931954	238.467663	1874.390365	364.330731	62.914024	19.371911	39.307859	46.156845	25.564614	95.65846	135.991721	87.728454	33.109906	22.812563	232.353235	64.60718	48.231916	142.485055	170.840031	323.125004	24.216089	35.808557	209.152734	105.00481	490.852009	165.427854	60.343651	110.21377	87.851791	151.757114	67.562616	188.475162	48.30263	112.888544	95.743141	43.919344	10.442163	22.077162	128.584224	46.876922	78.199618	56.739271	280.664776	107.065484	27.441418	46.680054	87.093341	59.510515	143.252819	117.506235	44.454768	103.150099	115.421146	169.079005	67.476121	386.915348	75.805011	157.318873	155.579114	134.296816	181.984614	212.833552	96.973237	102.089613	73.758705	131.476136	73.328467	53.499575	69.520006	67.419387	80.385498	35.379359	112.438516	72.81357	190.078451	218.035558	74.688634	83.561946	100.19855	91.341784	66.255313	84.051399	70.163965	40.543729	104.933873	86.16081	99.509351	109.891738	56.342682	126.089353	70.335271	64.162039	65.254462	103.729816	208.704905	118.011279	60.692748	70.25346	47.509055	77.193403	123.321707	125.369073	35.236974	50.019704	109.40727	75.462179	44.618488	66.917949	179.715154	210.894722	157.709591	30.575881	168.705989	257.450809	139.423329	50.904454	61.510728	98.067658	94.463316	66.383052	50.275986	44.262435	42.851476	32.492872	64.005665	42.467599	41.394787	11.864679	154.809704
